file_name,bill_date,account_name,account_number
 110000019270-LANGSTON LANE APARTMENTS-20170605.pdf,20170605,LANGSTON LANE APARTMENTS, 110000019270
 110000019270-LANGSTON LANE APARTMENTS-20170711.pdf,20170711,LANGSTON LANE APARTMENTS, 110000019270
 110000019270-LANGSTON LANE APARTMENTS-20170504.pdf,20170504,LANGSTON LANE APARTMENTS, 110000019270
 110000019270-LANGSTON LANE APARTMENTS-20170406.pdf,20170406,LANGSTON LANE APARTMENTS, 110000019270
 110000019270-LANGSTON LANE APARTMENTS-20170307.pdf,20170307,LANGSTON LANE APARTMENTS, 110000019270
 110000019270-LANGSTON LANE APARTMENTS-20170206.pdf,20170206,LANGSTON LANE APARTMENTS, 110000019270
 110000072733-Pomeroy Gardens LP-20180522.pdf,20180522,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20180503.pdf,20180503,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20180404.pdf,20180404,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20180306.pdf,20180306,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20180206.pdf,20180206,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20180105.pdf,20180105,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20171206.pdf,20171206,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20171106.pdf,20171106,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20171005.pdf,20171005,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20170907.pdf,20170907,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20170807.pdf,20170807,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20170707.pdf,20170707,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20170606.pdf,20170606,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20170504.pdf,20170504,Pomeroy Gardens LP, 110000072733
 110000072733-Pomeroy Gardens LP-20170406.pdf,20170406,Pomeroy Gardens LP, 110000072733
 110000072741-Pomeroy Gardens LP-20180522.pdf,20180522,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20180503.pdf,20180503,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20180404.pdf,20180404,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20180306.pdf,20180306,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20180206.pdf,20180206,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20180105.pdf,20180105,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20171206.pdf,20171206,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20171106.pdf,20171106,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20171005.pdf,20171005,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20170907.pdf,20170907,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20170807.pdf,20170807,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20170707.pdf,20170707,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20170606.pdf,20170606,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20170504.pdf,20170504,Pomeroy Gardens LP, 110000072741
 110000072741-Pomeroy Gardens LP-20170406.pdf,20170406,Pomeroy Gardens LP, 110000072741
 110000072766-Pomeroy Gardens LP-20180605.pdf,20180605,Pomeroy Gardens LP, 110000072766
 110000072766-Pomeroy Gardens LP-20180503.pdf,20180503,Pomeroy Gardens LP, 110000072766
 110000072766-Pomeroy Gardens LP-20180404.pdf,20180404,Pomeroy Gardens LP, 110000072766
 110000072766-Pomeroy Gardens LP-20180306.pdf,20180306,Pomeroy Gardens LP, 110000072766
 110000072766-Pomeroy Gardens LP-20180206.pdf,20180206,Pomeroy Gardens LP, 110000072766
 110000072766-Pomeroy Gardens LP-20180105.pdf,20180105,Pomeroy Gardens LP, 110000072766
